sessionid,scripcode,buyorsell,typecode,rate,qty,minfillqty,avlqty,actionid,tradetimestamp,retetion,audcode,ordid,errorcode,ordertype
3,500002,S,G,218255,8,0,1,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
3,500002,S,G,218245,1,0,0,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
3,500002,B,L,218245,1,0,1,0,02mar2022 09:28:22,0,T,1646193031025733914,0,N
3,500002,S,G,218245,1,0,0,0,02mar2022 09:28:22,0,T,1646193031025733933,0,N
3,500002,B,L,218280,7,0,0,0,02mar2022 09:28:25,3,T,1646193031025733943,0,N
3,500002,S,L,218280,7,0,0,0,02mar2022 09:28:25,0,T,1646193031025608701,0,N
3,500002,S,L,218245,1,17,16,0,02mar2022 09:28:26,4,T,1646193031025733952,0,N
3,500002,B,L,218245,1,0,0,0,02mar2022 09:28:26,0,T,1646193031025733914,0,N
3,500002,S,L,218245,16,17,0,0,02mar2022 09:28:26,4,T,1646193031025733952,0,N
3,500002,B,L,218245,16,16,0,0,02mar2022 09:28:26,3,T,1646193031025733954,0,N
3,500002,S,L,218260,14,0,0,0,02mar2022 09:28:30,4,T,1646193031025733983,0,N
3,500002,B,L,218260,14,0,1,0,02mar2022 09:28:30,4,T,1646193031025733964,0,N
3,500002,S,L,218285,1,0,14,0,02mar2022 09:28:30,4,T,1646193031025733983,0,N
3,500002,B,L,218285,1,0,0,0,02mar2022 09:28:30,0,T,1646193031025733971,0,N
3,500002,S,L,218555,2,0,0,0,02mar2022 09:28:46,0,T,1646193031025733972,0,N
3,500002,S,L,218555,13,0,2,0,02mar2022 09:28:46,4,T,1646193031025734003,0,N
3,500002,B,G,218555,2,0,13,0,02mar2022 09:28:46,0,T,1646193031025734004,0,N
3,500002,B,G,218555,13,0,0,0,02mar2022 09:28:46,0,T,1646193031025734004,0,N
3,500002,B,L,218325,2,0,0,0,02mar2022 09:29:01,0,T,1646193031025733988,0,N
3,500002,S,L,218325,2,4,2,0,02mar2022 09:29:01,3,T,1646193031025734032,0,N
3,500002,B,L,218305,15,0,0,0,02mar2022 09:29:01,4,T,1646193031025733964,0,N
3,500002,S,L,218305,15,0,2,0,02mar2022 09:29:01,3,T,1646193031025734033,0,N
3,500002,S,L,218300,8,0,0,0,02mar2022 09:29:01,3,T,1646193031025734035,0,N
3,500002,B,L,218300,8,0,0,0,02mar2022 09:29:01,0,T,1646193031025733990,0,N
3,500002,B,L,218285,2,0,0,0,02mar2022 09:29:01,0,T,1646193031025733989,0,N
3,500002,S,L,218285,2,0,0,0,02mar2022 09:29:01,3,T,1646193031025734036,0,N
3,500002,S,L,217995,2,0,0,0,02mar2022 09:30:23,3,T,1646193031025734432,0,N
3,500002,B,L,217995,2,0,0,0,02mar2022 09:30:23,0,T,1646193031025734247,0,N
3,500002,B,L,217895,8,0,4,0,02mar2022 09:30:23,0,T,1646193031025734377,0,N
3,500002,B,L,217925,2,0,0,0,02mar2022 09:30:23,0,T,1646193031025734352,0,N
3,500002,B,L,217945,2,0,0,0,02mar2022 09:30:23,0,T,1646193031025734367,0,N
3,500002,S,L,217945,2,12,10,0,02mar2022 09:30:23,3,T,1646193031025734433,0,N
3,500002,S,L,217925,2,12,8,0,02mar2022 09:30:23,3,T,1646193031025734433,0,N
3,500002,S,L,217895,8,12,0,0,02mar2022 09:30:23,3,T,1646193031025734433,0,N
3,500002,S,L,217885,1,12,11,0,02mar2022 09:30:23,3,T,1646193031025734434,0,N
3,500002,B,L,217885,1,0,0,0,02mar2022 09:30:23,0,T,1646193031025233408,0,N
3,500002,S,L,217710,1,0,0,0,02mar2022 09:30:23,3,T,1646193031025734440,0,N
3,500002,B,L,217710,1,0,17,0,02mar2022 09:30:23,0,T,1646193031025233201,0,N
3,500002,B,L,217710,1,0,16,0,02mar2022 09:30:23,0,T,1646193031025233201,0,N
3,500002,S,L,217710,1,0,0,0,02mar2022 09:30:23,3,T,1646193031025734445,0,N
3,500002,S,L,217720,4,4,0,0,02mar2022 09:30:26,3,T,1646193031025734499,0,N
3,500002,B,L,217720,4,0,11,0,02mar2022 09:30:26,4,T,1646193031025734489,0,N
3,500002,S,L,217990,6,0,9,0,02mar2022 09:31:21,4,T,1646193031025734601,0,N
3,500002,B,L,217990,6,6,0,0,02mar2022 09:31:21,3,T,1646193031025734679,0,N
3,500002,B,L,217990,6,6,0,0,02mar2022 09:31:21,3,T,1646193031025734680,0,N
3,500002,S,L,217990,6,0,3,0,02mar2022 09:31:21,4,T,1646193031025734601,0,N
3,500002,S,L,217990,3,0,0,0,02mar2022 09:31:21,4,T,1646193031025734601,0,N
3,500002,S,L,218055,1,1,0,0,02mar2022 09:31:21,0,T,1646193031025734656,0,N
3,500002,B,L,218035,1,75,70,0,02mar2022 09:31:21,3,T,1646193031025734681,0,N
3,500002,B,L,218055,1,75,69,0,02mar2022 09:31:21,3,T,1646193031025734681,0,N
3,500002,B,L,217990,3,75,72,0,02mar2022 09:31:21,3,T,1646193031025734681,0,N
3,500002,B,L,217995,1,75,71,0,02mar2022 09:31:21,3,T,1646193031025734681,0,N
3,500002,S,L,218035,1,0,0,0,02mar2022 09:31:21,0,T,1646193031025734594,0,N
3,500002,S,L,217995,1,0,0,0,02mar2022 09:31:21,0,T,1646193031025734611,0,N
3,500002,B,L,218090,5,0,4,0,02mar2022 09:31:21,3,T,1646193031025734690,0,N
3,500002,S,L,218090,5,1,0,0,02mar2022 09:31:21,4,T,1646193031025734039,0,N
3,500002,S,L,218255,5,1,0,0,02mar2022 09:31:21,4,T,1646193031025609144,0,N
3,500002,B,L,218255,5,0,5,0,02mar2022 09:31:21,3,T,1646193031025734695,0,N
3,500002,B,L,218130,1,0,14,0,02mar2022 09:32:58,4,T,1646193664720054878,0,N
3,500002,S,L,218130,4,0,1,0,02mar2022 09:32:58,4,T,1646193664720054979,0,N
3,500002,S,L,218130,1,0,0,0,02mar2022 09:32:58,4,T,1646193664720054979,0,N
